symbol_id,name,filename,Frequenz_0_4,Handlung,Eigenschaften,Ort,Anzahl_Kategorien
26,Eimer,sym_26.png,3,"Tragen, Aufbewahren","groß, leicht, rund, blickdicht","Garten, Bauernhof",8
27,Fahrrad,sym_27.png,3,"Transportieren, Tragen","schnell, leicht, groß, beweglich","Straße, Park",8
28,Gießkanne,sym_28.png,3,"Tragen, Waschen","groß, leicht, fest, glatt","Garten, Bauernhof",8
29,Hammer,sym_29.png,3,"Reparieren, Bauen","hart, schwer, robust, stark","Werkstatt, Baustelle",8
30,Helm,sym_30.png,3,"Schützen, Tragen","hart, leicht, stabil, robust","Straße, Baustelle",8
31,Kamm,sym_31.png,3,"Waschen, Dekorieren","klein, hart, spitz, glatt","Badezimmer, Schlafzimmer",8
32,Kerze,sym_32.png,3,"Leuchten, Dekorieren","klein, hell, duftend, gefährlich","Küche, Geschäft",8
33,Lineal,sym_33.png,3,"Messen, Schreiben","lang, dünn, starr, glatt","Schule, Büro",8
34,Maus,sym_34.png,3,"Kommunizieren, Schreiben","klein, glatt, beweglich, dunkel","Büro, Schule",8
35,Maßband,sym_35.png,3,"Messen, Bauen","lang, dünn, biegsam, leicht","Baustelle, Werkstatt",8
36,Puzzle,sym_36.png,3,"Spielen, Sammeln","bunt, eckig, mittelgroß, blickdicht","Schule, Park",8
37,Radio,sym_37.png,3,"Musizieren, Kommunizieren","laut, hart, mittelgroß, blickdicht","Garage, Park",8
38,Rucksack,sym_38.png,3,"Tragen, Aufbewahren","groß, leicht, weich, blickdicht","Schule, Wald",8
39,Schaufel,sym_39.png,3,"Graben, Bauen","groß, hart, robust, stumpf","Garten, Baustelle",8
40,Schraubenzieher,sym_40.png,3,"Reparieren, Bauen","lang, hart, fest, glänzend","Werkstatt, Garage",8
41,Schubkarre,sym_41.png,3,"Transportieren, Tragen","groß, beweglich, robust, schwer","Garten, Baustelle",8
42,Spiegel,sym_42.png,3,"Beobachten, Dekorieren","glatt, glänzend, zerbrechlich, eckig","Badezimmer, Schlafzimmer",8
43,Säge,sym_43.png,3,"Schneiden, Bauen","lang, hart, gefährlich, rau","Werkstatt, Baustelle",8
44,Tastatur,sym_44.png,3,"Schreiben, Kommunizieren","eckig, hart, matt, dunkel","Büro, Schule",8
45,Würfel,sym_45.png,3,"Spielen, Sammeln","klein, eckig, hart, bunt","Schule, Spielplatz",8
46,Zange,sym_46.png,3,"Reparieren, Bauen","hart, beweglich, stark, glänzend","Werkstatt, Garage",8
47,Zeitung,sym_47.png,3,"Lesen, Aufbewahren","dünn, leicht, matt, biegsam","Bahnhof, Geschäft",8
48,Zollstock,sym_48.png,3,"Messen, Bauen","lang, starr, hart, leicht","Baustelle, Werkstatt",8
49,Angel,sym_49.png,2,"Beobachten, Sammeln","lang, biegsam, leicht, beweglich","Wiese, Park",8
50,Arztkoffer,sym_50.png,2,"Aufbewahren, Transportieren","eckig, robust, blickdicht, mittelgroß","Krankenhaus, Büro",8
51,Fernglas,sym_51.png,2,"Beobachten, Suchen","klein, glänzend, hart, stabil","Wald, Wiese",8
52,Fußballtor,sym_52.png,2,"Spielen, Schützen","groß, stabil, hart, blickdicht","Sportplatz, Spielplatz",8
53,Karte,sym_53.png,2,"Lesen, Suchen","dünn, leicht, eckig, matt","Wald, Campingplatz",8
54,Koffer,sym_54.png,2,"Tragen, Transportieren","groß, hart, schwer, blickdicht","Bahnhof, Schlafzimmer",8
55,Kompass,sym_55.png,2,"Messen, Suchen","klein, rund, glänzend, stabil","Wald, Wiese",8
56,Krücke,sym_56.png,2,"Tragen, Schützen","lang, leicht, stabil, hart","Krankenhaus, Straße",8
57,Lupe,sym_57.png,2,"Beobachten, Suchen","klein, durchsichtig, rund, glänzend","Wald, Schule",8
58,Mikrofon,sym_58.png,2,"Kommunizieren, Musizieren","laut, mittelgroß, hart, glänzend","Bahnhof, Sportplatz",8
59,Pfeife,sym_59.png,2,"Kommunizieren, Musizieren","klein, laut, leicht, glänzend","Sportplatz, Bahnhof",8
60,Rollstuhl,sym_60.png,2,"Transportieren, Schützen","groß, beweglich, robust, schwer","Krankenhaus, Straße",8
61,Schlafsack,sym_61.png,2,"Schlafen, Aufbewahren","weich, groß, leicht, flauschig","Campingplatz, Schlafzimmer",8
62,Schläger,sym_62.png,2,"Spielen, Schützen","leicht, hart, lang, stabil","Sportplatz, Spielplatz",8
63,Seil,sym_63.png,2,"Tragen, Bauen","lang, biegsam, stark, rau","Wald, Baustelle",8
64,Stethoskop,sym_64.png,2,"Beobachten, Kommunizieren","klein, leicht, beweglich, glatt","Krankenhaus, Büro",8
65,Taschenlampe,sym_65.png,2,"Leuchten, Suchen","klein, hell, leicht, hart","Wald, Campingplatz",8
66,Taschenmesser,sym_66.png,2,"Schneiden, Reparieren","klein, spitz, gefährlich, glänzend","Wald, Campingplatz",8
67,Thermoskanne,sym_67.png,2,"Trinken, Transportieren","groß, fest, blickdicht, robust","Campingplatz, Wald",8
68,Turnmatte,sym_68.png,2,"Spielen, Schützen","weich, groß, leicht, flauschig","Sportplatz, Schule",8
69,Verkehrsschild,sym_69.png,2,"Kommunizieren, Beobachten","groß, hart, stabil, bunt","Straße, Baustelle",8
70,Wanderstock,sym_70.png,2,"Tragen, Schützen","lang, robust, hart, leicht","Wald, Wiese",8
71,Werkzeugkiste,sym_71.png,2,"Aufbewahren, Transportieren","robust, schwer, eckig, blickdicht","Werkstatt, Garage",8
72,Zelt,sym_72.png,2,"Schlafen, Schützen","groß, leicht, fest, stabil","Campingplatz, Wiese",8
73,Trommel,sym_73.png,1,"Musizieren, Spielen","laut, rund, groß, bunt","Schule, Spielplatz",8
